# Duration	Amplitude
0.000000000000000000e+00 0.000000000000000000e+00
1.001001001001000992e-03 6.285329004448193813e-02
2.002002002002001985e-03 1.254580301802960263e-01
3.003003003003002977e-03 1.875666533758371390e-01
4.004004004004003969e-03 2.489335544668916100e-01
5.005005005005004962e-03 3.093160613888689126e-01
6.006006006006005954e-03 3.684753948102498788e-01
7.007007007007006946e-03 4.261776123724352883e-01
8.008008008008007939e-03 4.821945338020476868e-01
9.009009009009008931e-03 5.363046432373823613e-01
1.001001001001000992e-02 5.882939652008051246e-01
1.101101101101101092e-02 6.379569107531118943e-01
1.201201201201201191e-02 6.850970904837808684e-01
1.301301301301301290e-02 7.295280911221884157e-01
1.401401401401401389e-02 7.710742126987246703e-01
1.501501501501501488e-02 8.095711633407439711e-01
1.601601601601601588e-02 8.448667089558177246e-01
1.701701701701701513e-02 8.768212752331534521e-01
1.801801801801801786e-02 9.053084995825966264e-01
1.901901901901902059e-02 9.302157308286042037e-01
2.002002002002001985e-02 9.514444746831767219e-01
2.102102102102101910e-02 9.689107832361495420e-01
2.202202202202202183e-02 9.825455869226277228e-01
2.302302302302302456e-02 9.922949676548137310e-01
2.402402402402402382e-02 9.981203720381462974e-01
2.502502502502502307e-02 9.999987638285974256e-01
2.602602602602602580e-02 9.979227150282432568e-01
2.702702702702702853e-02 9.919004352588768336e-01
2.802802802802802778e-02 9.819557392975066801e-01
2.902902902902902704e-02 9.681279529021188379e-01
3.003003003003002977e-02 9.504717573001115749e-01
3.103103103103103250e-02 9.290569729543627364e-01
3.203203203203203175e-02 9.039682834620161866e-01
3.303303303303303101e-02 8.753049006778130803e-01
3.403403403403403027e-02 8.431801723862226705e-01
3.503503503503503647e-02 8.077211340738067458e-01
3.603603603603603572e-02 7.690680065743169536e-01
3.703703703703703498e-02 7.273736415730488458e-01
3.803803803803804118e-02 6.828029171631890826e-01
3.903903903903904044e-02 6.355320858443841425e-01
4.004004004004003969e-02 5.857480775418393293e-01
4.104104104104103895e-02 5.336477604021225840e-01
4.204204204204203821e-02 4.794371622888099482e-01
4.304304304304304440e-02 4.233306560565345267e-01
4.404404404404404366e-02 3.655501118252190151e-01
4.504504504504504292e-02 3.063240196067837928e-01
4.604604604604604912e-02 2.458865857538501121e-01
4.704704704704704837e-02 1.844768068034925435e-01
4.804804804804804763e-02 1.223375243784573102e-01
4.904904904904904689e-02 5.971446488321034002e-02
5.005005005005004615e-02 -3.144732207735998451e-03
5.105105105105105234e-02 -6.599149362662067031e-02
5.205205205205205160e-02 -1.285772952818684811e-01
5.305305305305305086e-02 -1.906546450330644515e-01
5.405405405405405705e-02 -2.519780613851251849e-01
5.505505505505505631e-02 -3.123050442314895259e-01
5.605605605605605557e-02 -3.713970338075678890e-01
5.705705705705705483e-02 -4.290203540623263034e-01
5.805805805805805409e-02 -4.849471367174872927e-01
5.905905905905906028e-02 -5.389562223602164526e-01
6.006006006006005954e-02 -5.908340350059577695e-01
6.106106106106105880e-02 -6.403754266730258271e-01
6.206206206206206499e-02 -6.873844886291101686e-01
6.306306306306305731e-02 -7.316753261016779586e-01
6.406406406406406351e-02 -7.730727933887174830e-01
6.506506506506506970e-02 -8.114131864628658652e-01
6.606606606606606202e-02 -8.465448903300604178e-01
6.706706706706706822e-02 -8.783289785827688156e-01
6.806806806806806054e-02 -9.066397627768889578e-01
6.906906906906906674e-02 -9.313652894598539733e-01
7.007007007007007293e-02 -9.524077828844514926e-01
7.107107107107106525e-02 -9.696840316576875729e-01
7.207207207207207145e-02 -9.831257177957041238e-01
7.307307307307307764e-02 -9.926796868835202625e-01
7.407407407407406996e-02 -9.983081582712681756e-01
7.507507507507507616e-02 -9.999888744757140513e-01
7.607607607607608236e-02 -9.977151891962614538e-01
7.707707707707707467e-02 -9.914960935973848866e-01
7.807807807807808087e-02 -9.813561807535594594e-01
7.907907907907907319e-02 -9.673355483972903013e-01
8.008008008008007939e-02 -9.494896403548133135e-01
8.108108108108108558e-02 -9.278890272965094610e-01
8.208208208208207790e-02 -9.026191276690342935e-01
8.308308308308308410e-02 -8.737798699127286017e-01
8.408408408408407642e-02 -8.414852973000503944e-01
8.508508508508508261e-02 -8.058631169576695452e-01
8.608608608608608881e-02 -7.670541948555988920e-01
8.708708708708708113e-02 -7.252119987603977691e-01
8.808808808808808732e-02 -6.805019913552524669e-01
8.908908908908909352e-02 -6.331009759268209081e-01
9.009009009009008584e-02 -5.831963972062739199e-01
9.109109109109109204e-02 -5.309856001293205008e-01
9.209209209209209823e-02 -4.766750494464271348e-01
9.309309309309309055e-02 -4.204795132692143445e-01
9.409409409409409675e-02 -3.626212137816672842e-01
9.509509509509508907e-02 -3.033289484746273246e-01
9.609609609609609526e-02 -2.428371853785873391e-01
9.709709709709710146e-02 -1.813851358726507601e-01
9.809809809809809378e-02 -1.192158087361742530e-01
9.909909909909909997e-02 -5.657504918379272635e-02
1.001001001001000923e-01 6.289433316067026374e-03
1.011011011011010985e-01 6.912904459478434738e-02
1.021021021021021047e-01 1.316952888356239526e-01
1.031031031031030970e-01 1.937407512368967688e-01
1.041041041041041032e-01 2.550200764003101028e-01
1.051051051051051094e-01 3.152909385755026106e-01
1.061061061061061017e-01 3.743149999240187320e-01
1.071071071071071079e-01 4.318588530132969061e-01
1.081081081081081141e-01 4.876949438136345405e-01
1.091091091091091064e-01 5.416024715481897456e-01
1.101101101101101126e-01 5.933682618376204809e-01
1.111111111111111049e-01 6.427876096865384747e-01
1.121121121121121111e-01 6.896650889782615090e-01
1.131131131131131173e-01 7.338153252767277701e-01
1.141141141141141097e-01 7.750637288796013991e-01
1.151151151151151159e-01 8.132471852237330712e-01
1.161161161161161082e-01 8.482146999128017395e-01
1.171171171171171144e-01 8.798279958164291203e-01
1.181181181181181206e-01 9.079620598795461461e-01
1.191191191191191129e-01 9.325056374797072722e-01
1.201201201201201191e-01 9.533616723774290813e-01
1.211211211211211253e-01 9.704476905197969572e-01
1.221221221221221176e-01 9.836961261796099976e-01
1.231231231231231238e-01 9.930545891403677050e-01
1.241241241241241300e-01 9.984860718705224070e-01
1.251251251251251362e-01 9.999690958677468489e-01
1.261261261261261146e-01 9.974977965944997749e-01
1.271271271271271208e-01 9.910819466690197199e-01
1.281281281281281270e-01 9.807469172200398155e-01
1.291291291291291332e-01 9.665335775580414790e-01
1.301301301301301394e-01 9.484981335597951757e-01
1.311311311311311179e-01 9.267119054052853633e-01
1.321321321321321240e-01 9.012610455459448833e-01
1.331331331331331302e-01 8.722461980194862186e-01
