frequency, magnitude
-7.957747154594767380e+01 2.859761468603210233e-01
-7.941831660285578209e+01 2.859776904931637387e-01
-7.925916165976387617e+01 2.859823214799275259e-01
-7.910000671667198446e+01 2.859900400864689440e-01
-7.894085177358009275e+01 2.860008467556186540e-01
-7.878169683048820104e+01 2.860147421074152874e-01
-7.862254188739629512e+01 2.860317269392047002e-01
-7.846338694430440341e+01 2.860518022260444271e-01
-7.830423200121251170e+01 2.860749691202338352e-01
-7.814507705812061999e+01 2.861012289518004015e-01
-7.798592211502871407e+01 2.861305832291671236e-01
-7.782676717193682236e+01 2.861630336384956008e-01
-7.766761222884493066e+01 2.861985820444215012e-01
-7.750845728575303895e+01 2.862372304905795306e-01
-7.734930234266113303e+01 2.862789811990660294e-01
-7.719014739956924132e+01 2.863238365717603595e-01
-7.703099245647734961e+01 2.863717991903323989e-01
-7.687183751338545790e+01 2.864228718154885334e-01
-7.671268257029355198e+01 2.864770573900514150e-01
-7.655352762720166027e+01 2.865343590365844184e-01
-7.639437268410976856e+01 2.865947800583110716e-01
-7.623521774101787685e+01 2.866583239428463492e-01
-7.607606279792597093e+01 2.867249943576551940e-01
-7.591690785483407922e+01 2.867947951523276418e-01
-7.575775291174218751e+01 2.868677303652368837e-01
-7.559859796865029580e+01 2.869438042150450618e-01
-7.543944302555838988e+01 2.870230211003829690e-01
-7.528028808246649817e+01 2.871053856136464022e-01
-7.512113313937460646e+01 2.871909025324801967e-01
-7.496197819628271475e+01 2.872795768140117834e-01
-7.480282325319080883e+01 2.873714136084773996e-01
-7.464366831009891712e+01 2.874664182549885316e-01
-7.448451336700702541e+01 2.875645962783852649e-01
-7.432535842391511949e+01 2.876659533961936077e-01
-7.416620348082322778e+01 2.877704955153279620e-01
-7.400704853773133607e+01 2.878782287340897472e-01
-7.384789359463944436e+01 2.879891593444585673e-01
-7.368873865154753844e+01 2.881032938311691716e-01
-7.352958370845564673e+01 2.882206388731869406e-01
-7.337042876536375502e+01 2.883412013458754308e-01
-7.321127382227186331e+01 2.884649883205854248e-01
-7.305211887917995739e+01 2.885920070658989367e-01
-7.289296393608806568e+01 2.887222650498558196e-01
-7.273380899299617397e+01 2.888557699399553758e-01
-7.257465404990428226e+01 2.889925296048000969e-01
-7.241549910681237634e+01 2.891325521152386946e-01
-7.225634416372048463e+01 2.892758457458383670e-01
-7.209718922062859292e+01 2.894224189747555687e-01
-7.193803427753670121e+01 2.895722804881559753e-01
-7.177887933444479529e+01 2.897254391773591564e-01
-7.161972439135290358e+01 2.898819041441257904e-01
-7.146056944826101187e+01 2.900416846996570763e-01
-7.130141450516912016e+01 2.902047903669859319e-01
-7.114225956207721424e+01 2.903712308816602805e-01
-7.098310461898532253e+01 2.905410161944476100e-01
-7.082394967589343082e+01 2.907141564726143934e-01
-7.066479473280153911e+01 2.908906621004960780e-01
-7.050563978970963319e+01 2.910705436809609692e-01
-7.034648484661774148e+01 2.912538120395383734e-01
-7.018732990352584977e+01 2.914404782239982117e-01
-7.002817496043395806e+01 2.916305535060277343e-01
-6.986902001734205214e+01 2.918240493842281791e-01
-6.970986507425016043e+01 2.920209775848861544e-01
-6.955071013115826872e+01 2.922213500644200157e-01
-6.939155518806637701e+01 2.924251790112976646e-01
-6.923240024497447109e+01 2.926324768474133364e-01
-6.907324530188257938e+01 2.928432562307914377e-01
-6.891409035879068767e+01 2.930575300571566233e-01
-6.875493541569879596e+01 2.932753114623418700e-01
-6.859578047260689004e+01 2.934966138242480205e-01
-6.843662552951499833e+01 2.937214507646995210e-01
-6.827747058642310662e+01 2.939498361522040470e-01
-6.811831564333121491e+01 2.941817841040333392e-01
-6.795916070023930899e+01 2.944173089887424100e-01
-6.780000575714741728e+01 2.946564254275737538e-01
-6.764085081405552557e+01 2.948991482983113754e-01
-6.748169587096361965e+01 2.951454927367483938e-01
-6.732254092787172794e+01 2.953954741391706662e-01
-6.716338598477983624e+01 2.956491081657030007e-01
-6.700423104168794453e+01 2.959064107426443990e-01
-6.684507609859603861e+01 2.961673980642218207e-01
-6.668592115550414690e+01 2.964320865953087858e-01
-6.652676621241225519e+01 2.967004930771803273e-01
-6.636761126932036348e+01 2.969726345273325796e-01
-6.620845632622845756e+01 2.972485282417612895e-01
-6.604930138313656585e+01 2.975281918002918302e-01
-6.589014644004467414e+01 2.978116430689351501e-01
-6.573099149695278243e+01 2.980989002017716549e-01
-6.557183655386087651e+01 2.983899816454527176e-01
-6.541268161076898480e+01 2.986849061421417151e-01
-6.525352666767709309e+01 2.989836927316726345e-01
-6.509437172458520138e+01 2.992863607562498141e-01
-6.493521678149329546e+01 2.995929298635313653e-01
-6.477606183840140375e+01 2.999034200090464064e-01
-6.461690689530951204e+01 3.002178514608657700e-01
-6.445775195221762033e+01 3.005362448036275613e-01
-6.429859700912571441e+01 3.008586209399184419e-01
-6.413944206603382270e+01 3.011850010972412783e-01
-6.398028712294193099e+01 3.015154068282359101e-01
-6.382113217985003217e+01 3.018498600174568947e-01
-6.366197723675814046e+01 3.021883828842982789e-01
-6.350282229366624165e+01 3.025309979878020861e-01
-6.334366735057434994e+01 3.028777282268314552e-01
-6.318451240748245112e+01 3.032285968492784978e-01
-6.302535746439055941e+01 3.035836274580917538e-01
-6.286620252129866060e+01 3.039428440075673810e-01
-6.270704757820676889e+01 3.043062708119053661e-01
-6.254789263511487007e+01 3.046739325531745979e-01
-6.238873769202297837e+01 3.050458542809649232e-01
