x, Amplitude
0.000000000000000000e+00 0.000000000000000000e+00
6.289474781961547356e-03 3.849737270350857554e-01
1.257894956392309471e-02 7.106057036252039216e-01
1.886842434588464207e-02 9.267014096389813993e-01
2.515789912784618942e-02 9.999507863426441157e-01
3.144737390980773678e-02 9.190628132655871418e-01
3.773684869176928414e-02 6.965059618261224550e-01
4.402632347373083149e-02 3.665862436049693862e-01
5.031579825569237885e-02 -1.984088760798368919e-02
5.660527303765392620e-02 -4.032096464740566599e-01
6.289474781961547356e-02 -7.244256802636817039e-01
6.918422260157702786e-02 -9.339751640650388875e-01
7.547369738353856827e-02 -9.995571061471292262e-01
8.176317216550010869e-02 -9.110623822569703378e-01
8.805264694746166299e-02 -6.821320059287329096e-01
9.434212172942321728e-02 -3.480544353280440872e-01
1.006315965113847577e-01 3.967396386702962824e-02
1.069210712933462981e-01 4.212868224482230750e-01
1.132105460753078524e-01 7.379604508226831339e-01
1.195000208572694067e-01 9.408812128697622290e-01
1.257894956392309471e-01 9.987699007478234581e-01
1.320789704211924875e-01 9.027032663793858047e-01
1.383684452031540557e-01 6.674894949533041189e-01
1.446579199851155961e-01 3.293855981692769830e-01
1.509473947670771365e-01 -5.949142050352435040e-02
1.572368695490386770e-01 -4.391981379811612518e-01
1.635263443310002174e-01 -7.512046866688453228e-01
1.698158191129617856e-01 -9.474168371447011516e-01
1.761052938949233260e-01 -9.975894800671548657e-01
1.823947686768848664e-01 -8.939887566131680119e-01
1.886842434588464346e-01 -6.525841936501268759e-01
1.949737182408079750e-01 -3.105870820418457079e-01
2.012631930227695154e-01 7.928545539329484582e-02
2.075526678047310558e-01 4.569365413956322786e-01
2.138421425866925962e-01 7.641531735522012481e-01
2.201316173686541644e-01 9.535794638173826776e-01
2.264210921506157048e-01 9.960163088362387063e-01
2.327105669325772452e-01 8.849222838570733884e-01
2.390000417145388134e-01 6.374219702299250834e-01
2.452895164965003538e-01 2.916662879134840902e-01
2.515789912784618942e-01 -9.904827563329755835e-02
2.578684660604234624e-01 -4.744950490898224293e-01
2.641579408423849751e-01 -7.768008136590196511e-01
2.704474156243465433e-01 -9.593666666643294594e-01
2.767368904063081114e-01 -9.940510064119134626e-01
2.830263651882696241e-01 -8.755074175775342527e-01
2.893158399702311923e-01 -6.220087940535561355e-01
2.956053147521927049e-01 -2.726306648927235843e-01
3.018947895341542731e-01 1.187721006096822268e-01
3.081842643161158413e-01 4.918667482867882246e-01
3.144737390980773539e-01 7.891426276188162614e-01
3.207632138800389221e-01 9.647761672662654719e-01
3.270526886620004348e-01 9.916943465329013385e-01
3.333421634439620029e-01 8.657478644033664850e-01
3.396316382259235711e-01 6.063507332818627305e-01
3.459211130078850838e-01 2.534877072961777000e-01
3.522105877898466519e-01 -1.384491650610242264e-01
3.585000625718082201e-01 -5.090447997560051396e-01
3.647895373537697328e-01 -8.011737564647342102e-01
3.710790121357313009e-01 -9.698058359051230370e-01
3.773684869176928691e-01 -9.889472570151839337e-01
3.836579616996543818e-01 -8.556474666664645179e-01
3.899474364816159500e-01 -5.904539524866578848e-01
3.962369112635774626e-01 -2.342449516980347479e-01
4.025263860455390308e-01 1.580717221354852320e-01
4.088158608275005990e-01 5.260224405059868991e-01
4.151053356094621116e-01 8.128894635465049312e-01
4.213948103914236798e-01 9.744536924025181124e-01
4.276842851733851925e-01 9.858108193867267666e-01
4.339737599553467606e-01 8.452102008890870488e-01
4.402632347373083288e-01 5.743247102237135637e-01
4.465527095192698415e-01 2.149099739629237171e-01
4.528421843012314096e-01 -1.776320464407719069e-01
4.591316590831929778e-01 -5.427929864468490351e-01
4.654211338651544905e-01 -8.242851363952796717e-01
4.717106086471160586e-01 -9.787179068993427933e-01
4.780000834290776268e-01 -9.822862684616773254e-01
4.842895582110391395e-01 -8.344401762182882543e-01
4.905790329930007077e-01 -5.579693565687936507e-01
4.968685077749622203e-01 -1.954903862632791089e-01
5.031579825569237885e-01 1.971224370855913510e-01
5.094474573388853011e-01 5.593498350218537585e-01
5.157369321208469248e-01 8.353562885395494630e-01
5.220264069028084375e-01 9.825968005761778201e-01
5.283158816847699502e-01 9.783749918542237189e-01
5.346053564667315738e-01 8.233416328081596403e-01
5.408948312486930865e-01 5.413943306176113301e-01
5.471843060306545992e-01 1.759938340824419856e-01
5.534737808126162228e-01 -2.165352207115202876e-01
5.597632555945777355e-01 -5.756864678068214225e-01
5.660527303765392482e-01 -8.460985612714617687e-01
5.723422051585007608e-01 -9.860888463142478688e-01
5.786316799404623845e-01 -9.740785294322874543e-01
5.849211547224238972e-01 -8.119189401504895987e-01
5.912106295043854098e-01 -5.246061579507713679e-01
5.975001042863470335e-01 -1.564279932046401256e-01
6.037895790683085462e-01 2.358627545139541926e-01
6.100790538502700588e-01 5.917964530764345810e-01
6.163685286322316825e-01 8.565077253628571308e-01
6.226580034141931952e-01 9.891926692966441781e-01
6.289474781961547079e-01 9.693985727112804929e-01
6.352369529781163315e-01 8.001765953544598409e-01
6.415264277600778442e-01 5.076114480646430893e-01
6.478159025420393569e-01 1.368005666930492692e-01
6.541053773240008695e-01 -2.550974292511490882e-01
6.603948521059624932e-01 -6.076734483364106820e-01
6.666843268879240059e-01 -8.665796827302880700e-01
6.729738016698855185e-01 -9.919070475495905814e-01
6.792632764518471422e-01 -9.643369641881538445e-01
6.855527512338086549e-01 -7.881192213761905041e-01
6.918422260157701675e-01 -4.904168917692346419e-01
6.981317007977317912e-01 -1.171192818570369193e-01
7.044211755796933039e-01 2.742316722399142370e-01
7.107106503616548165e-01 6.233112028205116673e-01
7.170001251436164402e-01 8.763104680484754549e-01
7.232895999255779529e-01 9.942309124235342299e-01
7.295790747075394655e-01 9.588956966160147033e-01
7.358685494895010892e-01 7.757515651986388594e-01
7.421580242714626019e-01 4.730292585539569439e-01
7.484474990534241146e-01 9.739188721001913740e-02
7.547369738353857382e-01 -2.932579503369815432e-01
7.610264486173472509e-01 -6.387035599515296092e-01
7.673159233993087636e-01 -8.856962503114039764e-01
7.736053981812702762e-01 -9.961633490138697145e-01
7.798948729632318999e-01 -9.530769122195699161e-01
7.861843477451934126e-01 -7.630784959627353592e-01
7.924738225271549252e-01 -4.554553939225646220e-01
7.987632973091165489e-01 -7.762614941879661390e-02
8.050527720910780616e-01 3.121687729048350790e-01
8.113422468730395742e-01 6.538444597650499013e-01
8.176317216550011979e-01 8.947333343406310702e-01
8.239211964369627106e-01 9.977035965211416002e-01
8.302106712189242232e-01 9.468829018517394003e-01
8.365001460008858469e-01 7.501050030503955135e-01
8.427896207828473596e-01 4.377022166980160112e-01
8.490790955648088723e-01 5.782985024585644840e-02
8.553685703467703849e-01 -3.309566947607442966e-01
8.616580451287320086e-01 -6.687279412953237578e-01
8.679475199106935213e-01 -9.034181622400423439e-01
8.742369946926550339e-01 -9.988510485505670555e-01
8.805264694746166576e-01 -9.403161040917448199e-01
8.868159442565781703e-01 -7.368361941202261622e-01
8.931054190385396829e-01 -4.197767162985667766e-01
8.993948938205013066e-01 -3.801078348568157073e-02
9.056843686024628193e-01 3.496143191079428281e-01
9.119738433844243319e-01 6.833481449220430992e-01
9.182633181663859556e-01 9.117473147966330682e-01
9.245527929483474683e-01 9.996052533507747695e-01
9.308422677303089809e-01 9.333791042850538844e-01
9.371317425122706046e-01 7.232772930965906122e-01
9.434212172942321173e-01 4.016859499860259697e-01
9.497106920761936300e-01 1.817675189636549712e-02
9.560001668581552536e-01 -3.681343004477176661e-01
9.622896416401167663e-01 -6.976993146773343701e-01
9.685791164220782790e-01 -9.197175128266062982e-01
9.748685912040397916e-01 -9.999659139916579065e-01
9.811580659860014153e-01 -9.260746335255037875e-01
9.874475407679629280e-01 -7.094336381130184055e-01
9.937370155499244406e-01 -3.834370400873479134e-01
1.000026490331886064e+00 1.664435872372724973e-03
1.006315965113847577e+00 3.865093474713687804e-01
1.012605439895809090e+00 7.117758005118074438e-01
1.018894914677770602e+00 9.273256184664206980e-01
1.025184389459732115e+00 9.999328884812774820e-01
