x, Amplitude
0.000000000000000000e+00 0.000000000000000000e+00
6.289474781961547356e-03 6.285329004448193813e-02
1.257894956392309471e-02 1.254580301802960263e-01
1.886842434588464207e-02 1.875666533758371390e-01
2.515789912784618942e-02 2.489335544668916100e-01
3.144737390980773678e-02 3.093160613888688570e-01
3.773684869176928414e-02 3.684753948102498788e-01
4.402632347373083149e-02 4.261776123724352883e-01
5.031579825569237885e-02 4.821945338020476868e-01
5.660527303765392620e-02 5.363046432373823613e-01
6.289474781961547356e-02 5.882939652008050135e-01
6.918422260157702786e-02 6.379569107531118943e-01
7.547369738353856827e-02 6.850970904837808684e-01
8.176317216550010869e-02 7.295280911221883047e-01
8.805264694746166299e-02 7.710742126987246703e-01
9.434212172942321728e-02 8.095711633407439711e-01
1.006315965113847577e-01 8.448667089558177246e-01
1.069210712933462981e-01 8.768212752331534521e-01
1.132105460753078524e-01 9.053084995825966264e-01
1.195000208572694067e-01 9.302157308286042037e-01
1.257894956392309471e-01 9.514444746831766109e-01
1.320789704211924875e-01 9.689107832361495420e-01
1.383684452031540557e-01 9.825455869226277228e-01
1.446579199851155961e-01 9.922949676548136200e-01
1.509473947670771365e-01 9.981203720381462974e-01
1.572368695490386770e-01 9.999987638285974256e-01
1.635263443310002174e-01 9.979227150282432568e-01
1.698158191129617856e-01 9.919004352588769446e-01
1.761052938949233260e-01 9.819557392975066801e-01
1.823947686768848664e-01 9.681279529021188379e-01
1.886842434588464346e-01 9.504717573001114639e-01
1.949737182408079750e-01 9.290569729543627364e-01
2.012631930227695154e-01 9.039682834620161866e-01
2.075526678047310558e-01 8.753049006778130803e-01
2.138421425866925962e-01 8.431801723862226705e-01
2.201316173686541644e-01 8.077211340738067458e-01
2.264210921506157048e-01 7.690680065743169536e-01
2.327105669325772452e-01 7.273736415730488458e-01
2.390000417145388134e-01 6.828029171631890826e-01
2.452895164965003538e-01 6.355320858443841425e-01
2.515789912784618942e-01 5.857480775418396624e-01
2.578684660604234624e-01 5.336477604021225840e-01
2.641579408423849751e-01 4.794371622888103368e-01
2.704474156243465433e-01 4.233306560565345267e-01
2.767368904063081114e-01 3.655501118252190151e-01
2.830263651882696241e-01 3.063240196067837928e-01
2.893158399702311923e-01 2.458865857538505562e-01
2.956053147521927049e-01 1.844768068034929598e-01
3.018947895341542731e-01 1.223375243784573102e-01
3.081842643161158413e-01 5.971446488320989593e-02
3.144737390980773539e-01 -3.144732207735998451e-03
3.207632138800389221e-01 -6.599149362662022622e-02
3.270526886620004348e-01 -1.285772952818680370e-01
3.333421634439620029e-01 -1.906546450330640352e-01
3.396316382259235711e-01 -2.519780613851247408e-01
3.459211130078850838e-01 -3.123050442314886932e-01
3.522105877898466519e-01 -3.713970338075678890e-01
3.585000625718082201e-01 -4.290203540623263034e-01
3.647895373537697328e-01 -4.849471367174872927e-01
3.710790121357313009e-01 -5.389562223602160085e-01
3.773684869176928691e-01 -5.908340350059581025e-01
3.836579616996543818e-01 -6.403754266730258271e-01
3.899474364816159500e-01 -6.873844886291101686e-01
3.962369112635774626e-01 -7.316753261016779586e-01
4.025263860455390308e-01 -7.730727933887174830e-01
4.088158608275005990e-01 -8.114131864628658652e-01
4.151053356094621116e-01 -8.465448903300604178e-01
4.213948103914236798e-01 -8.783289785827683716e-01
4.276842851733851925e-01 -9.066397627768889578e-01
4.339737599553467606e-01 -9.313652894598539733e-01
4.402632347373083288e-01 -9.524077828844514926e-01
4.465527095192698415e-01 -9.696840316576873509e-01
4.528421843012314096e-01 -9.831257177957041238e-01
4.591316590831929778e-01 -9.926796868835202625e-01
4.654211338651544905e-01 -9.983081582712681756e-01
4.717106086471160586e-01 -9.999888744757140513e-01
4.780000834290776268e-01 -9.977151891962614538e-01
4.842895582110391395e-01 -9.914960935973848866e-01
4.905790329930007077e-01 -9.813561807535594594e-01
4.968685077749622203e-01 -9.673355483972903013e-01
5.031579825569237885e-01 -9.494896403548136465e-01
5.094474573388853011e-01 -9.278890272965096830e-01
5.157369321208469248e-01 -9.026191276690342935e-01
5.220264069028084375e-01 -8.737798699127286017e-01
5.283158816847699502e-01 -8.414852973000508385e-01
5.346053564667315738e-01 -8.058631169576689901e-01
5.408948312486930865e-01 -7.670541948555988920e-01
5.471843060306545992e-01 -7.252119987603977691e-01
5.534737808126162228e-01 -6.805019913552524669e-01
5.597632555945777355e-01 -6.331009759268215742e-01
5.660527303765392482e-01 -5.831963972062739199e-01
5.723422051585007608e-01 -5.309856001293212779e-01
5.786316799404623845e-01 -4.766750494464279120e-01
5.849211547224238972e-01 -4.204795132692151771e-01
5.912106295043854098e-01 -3.626212137816681169e-01
5.975001042863470335e-01 -3.033289484746273246e-01
6.037895790683085462e-01 -2.428371853785873391e-01
6.100790538502700588e-01 -1.813851358726524809e-01
6.163685286322316825e-01 -1.192158087361733648e-01
6.226580034141931952e-01 -5.657504918379272635e-02
6.289474781961547079e-01 6.289433316067026374e-03
6.352369529781163315e-01 6.912904459478434738e-02
6.415264277600778442e-01 1.316952888356230644e-01
6.478159025420393569e-01 1.937407512368967688e-01
6.541053773240008695e-01 2.550200764003092146e-01
6.603948521059624932e-01 3.152909385755017779e-01
6.666843268879240059e-01 3.743149999240178993e-01
6.729738016698855185e-01 4.318588530132960734e-01
6.792632764518471422e-01 4.876949438136337633e-01
6.855527512338086549e-01 5.416024715481897456e-01
6.918422260157701675e-01 5.933682618376190376e-01
6.981317007977317912e-01 6.427876096865392519e-01
7.044211755796933039e-01 6.896650889782615090e-01
7.107106503616548165e-01 7.338153252767271040e-01
7.170001251436164402e-01 7.750637288796013991e-01
7.232895999255779529e-01 8.132471852237325161e-01
7.295790747075394655e-01 8.482146999128017395e-01
7.358685494895010892e-01 8.798279958164291203e-01
7.421580242714626019e-01 9.079620598795458131e-01
7.484474990534241146e-01 9.325056374797070502e-01
7.547369738353857382e-01 9.533616723774294144e-01
7.610264486173472509e-01 9.704476905197967351e-01
7.673159233993087636e-01 9.836961261796099976e-01
7.736053981812702762e-01 9.930545891403674830e-01
7.798948729632318999e-01 9.984860718705224070e-01
7.861843477451934126e-01 9.999690958677469599e-01
7.924738225271549252e-01 9.974977965944997749e-01
7.987632973091165489e-01 9.910819466690197199e-01
8.050527720910780616e-01 9.807469172200398155e-01
8.113422468730395742e-01 9.665335775580419231e-01
8.176317216550011979e-01 9.484981335597951757e-01
8.239211964369627106e-01 9.267119054052853633e-01
8.302106712189242232e-01 9.012610455459448833e-01
8.365001460008858469e-01 8.722461980194862186e-01
8.427896207828473596e-01 8.397821004585404037e-01
8.490790955648088723e-01 8.039971303669409819e-01
8.553685703467703849e-01 7.650327974578912116e-01
8.616580451287320086e-01 7.230431840615102468e-01
8.679475199106935213e-01 6.781943358146669265e-01
8.742369946926550339e-01 6.306636050425588058e-01
8.805264694746166576e-01 5.806389494286053887e-01
8.868159442565781703e-01 5.283181887460522974e-01
8.931054190385396829e-01 4.739082225904451273e-01
8.993948938205013066e-01 4.176242122064668938e-01
9.056843686024628193e-01 3.596887296445367976e-01
9.119738433844243319e-01 3.003308776117510903e-01
9.182633181663859556e-01 2.397853834977360932e-01
9.245527929483474683e-01 1.782916711579772828e-01
9.308422677303089809e-01 1.160929141252310531e-01
9.371317425122706046e-01 5.343507399305771205e-02
9.434212172942321173e-01 -9.434072225895224345e-03
9.497106920761936300e-01 -7.226591192058601232e-02
9.560001668581552536e-01 -1.348119800065837592e-01
9.622896416401167663e-01 -1.968249414677054887e-01
9.685791164220782790e-01 -2.580595694288491115e-01
9.748685912040397916e-01 -3.182737148923062698e-01
9.811580659860014153e-01 -3.772292643027698178e-01
9.874475407679629280e-01 -4.346930811543944229e-01
9.937370155499244406e-01 -4.904379279164198246e-01
1.000026490331886064e+00 -5.442433646315787410e-01
1.006315965113847577e+00 -5.958966206338964788e-01
1.012605439895809090e+00 -6.451934359386926054e-01
1.018894914677770602e+00 -6.919388689775445300e-01
1.025184389459732115e+00 -7.359480674841022418e-01
1.031473864241693850e+00 -7.770469994822877258e-01
1.037763339023655362e+00 -8.150731414862618651e-01
1.044052813805616875e+00 -8.498761211906863400e-01
1.050342288587578388e+00 -8.813183121098063788e-01
1.056631763369539900e+00 -9.092753778138874532e-01
1.062921238151501413e+00 -9.336367636108454660e-01
1.069210712933463148e+00 -9.543061337287489510e-01
1.075500187715424660e+00 -9.712017522703760841e-01
1.081789662497386173e+00 -9.842568064333685474e-01
1.088079137279347686e+00 -9.934196707178104546e-01
1.094368612061309198e+00 -9.986541110764564078e-01
1.100658086843270711e+00 -9.999394282002936896e-01
1.106947561625232446e+00 -9.972705393728327206e-01
1.113237036407193958e+00 -9.906579985694319301e-01
1.119526511189155471e+00 -9.801279547221767308e-01
1.125815985971116984e+00 -9.657220483153546864e-01
1.132105460753078496e+00 -9.474972467204302307e-01
1.138394935535040009e+00 -9.255256189216790608e-01
1.144684410317001522e+00 -8.998940505233191667e-01
1.150973885098963256e+00 -8.707039001651274424e-01
1.157263359880924769e+00 -8.380705987052270434e-01
1.163552834662886282e+00 -8.021231927550441787e-01
1.169842309444847794e+00 -7.630038343715285221e-01
1.176131784226809307e+00 -7.208672189245859396e-01
1.182421259008770820e+00 -6.758799733626810191e-01
1.188710733790732554e+00 -6.282199972956424849e-01
1.195000208572694067e+00 -5.780757595003719329e-01
1.201289683354655580e+00 -5.256455526313215110e-01
1.207579158136617092e+00 -4.711367090830181903e-01
1.213868632918578605e+00 -4.147647811054084865e-01
1.220158107700540118e+00 -3.567526884142344645e-01
1.226447582482501630e+00 -2.973298366671745518e-01
1.232737057264463365e+00 -2.367312102916797889e-01
1.239026532046424878e+00 -1.751964432518702264e-01
1.245316006828386390e+00 -1.129688714290735807e-01
1.251605481610347903e+00 -5.029457036336817261e-02
1.257894956392309416e+00 1.257861783873961102e-02
1.264184431174270928e+00 7.540206458239891163e-02
1.270473905956232663e+00 1.379273379726532189e-01
1.276763380738194176e+00 1.999071852248029968e-01
1.283052855520155688e+00 2.610965104120872016e-01
1.289342330302117201e+00 3.212533436841432111e-01
1.295631805084078714e+00 3.801397981235950518e-01
1.301921279866040226e+00 4.375230104569015621e-01
1.308210754648001739e+00 4.931760618994722178e-01
1.314500229429963474e+00 5.468788754936272367e-01
1.320789704211924986e+00 5.984190863909256697e-01
1.327079178993886499e+00 6.475928816373933694e-01
1.333368653775848012e+00 6.942058061407210268e-01
1.339658128557809524e+00 7.380735316323379092e-01
1.345947603339771037e+00 7.790225855834893576e-01
1.352237078121732772e+00 8.168910371929051228e-01
1.358526552903694284e+00 8.515291377333104039e-01
1.364816027685655797e+00 8.827999127246189959e-01
1.371105502467617310e+00 9.105797035920353277e-01
1.377394977249578822e+00 9.347586566671503006e-01
1.383684452031540335e+00 9.552411575982858727e-01
1.389973926813502070e+00 9.719462094522334228e-01
1.396263401595463582e+00 9.848077530122080203e-01
1.402552876377425095e+00 9.937749280054239964e-01
1.408842351159386608e+00 9.988122742272691479e-01
1.415131825941348120e+00 9.998998717667488823e-01
1.421421300723309633e+00 9.970334197786903108e-01
