frequency, magnitude
-7.949789407440172795e+01 3.252674053876467575e-01
-7.933889828625292751e+01 3.252693501710414159e-01
-7.917990249810412706e+01 3.252751846508309952e-01
-7.902090670995532662e+01 3.252849092189785685e-01
-7.886191092180652618e+01 3.252985245266183378e-01
-7.870291513365771152e+01 3.253160314880284010e-01
-7.854391934550891108e+01 3.253374312764389376e-01
-7.838492355736011064e+01 3.253627253280125808e-01
-7.822592776921131019e+01 3.253919153403160291e-01
-7.806693198106250975e+01 3.254250032724891883e-01
-7.790793619291369509e+01 3.254619913454143698e-01
-7.774894040476489465e+01 3.255028820426723035e-01
-7.758994461661609421e+01 3.255476781133098130e-01
-7.743094882846729377e+01 3.255963825671723266e-01
-7.727195304031847911e+01 3.256489986789964930e-01
-7.711295725216967867e+01 3.257055299888581001e-01
-7.695396146402087822e+01 3.257659803014632538e-01
-7.679496567587207778e+01 3.258303536886055785e-01
-7.663596988772327734e+01 3.258986544871986801e-01
-7.647697409957446268e+01 3.259708873004396046e-01
-7.631797831142566224e+01 3.260470570042789396e-01
-7.615898252327686180e+01 3.261271687412605202e-01
-7.599998673512806135e+01 3.262112279229709144e-01
-7.584099094697926091e+01 3.262992402339007225e-01
-7.568199515883044626e+01 3.263912116293180565e-01
-7.552299937068164581e+01 3.264871483383980921e-01
-7.536400358253284537e+01 3.265870568639920313e-01
-7.520500779438404493e+01 3.266909439847811569e-01
-7.504601200623523027e+01 3.267988167557065449e-01
-7.488701621808642983e+01 3.269106825099380997e-01
-7.472802042993762939e+01 3.270265488598599335e-01
-7.456902464178882894e+01 3.271464236973877782e-01
-7.441002885364002850e+01 3.272703151976780744e-01
-7.425103306549121385e+01 3.273982318185608698e-01
-7.409203727734241340e+01 3.275301823038214155e-01
-7.393304148919361296e+01 3.276661756824001404e-01
-7.377404570104481252e+01 3.278062212723624747e-01
-7.361504991289601207e+01 3.279503286817652685e-01
-7.345605412474719742e+01 3.280985078088397011e-01
-7.329705833659839698e+01 3.282507688475467256e-01
-7.313806254844959653e+01 3.284071222862975925e-01
-7.297906676030079609e+01 3.285675789089246290e-01
-7.282007097215199565e+01 3.287321498014150745e-01
-7.266107518400318099e+01 3.289008463497873347e-01
-7.250207939585438055e+01 3.290736802416963092e-01
-7.234308360770558011e+01 3.292506634721235059e-01
-7.218408781955677966e+01 3.294318083439566891e-01
-7.202509203140796501e+01 3.296171274695250397e-01
-7.186609624325916457e+01 3.298066337734658626e-01
-7.170710045511036412e+01 3.300003404949375385e-01
-7.154810466696156368e+01 3.301982611906762455e-01
-7.138910887881276324e+01 3.304004097377289950e-01
-7.123011309066394858e+01 3.306068003342536032e-01
-7.107111730251514814e+01 3.308174475041470997e-01
-7.091212151436634770e+01 3.310323661001414730e-01
-7.075312572621754725e+01 3.312515713027563424e-01
-7.059412993806874681e+01 3.314750786295639906e-01
-7.043513414991993216e+01 3.317029039325198325e-01
-7.027613836177113171e+01 3.319350634020836743e-01
-7.011714257362233127e+01 3.321715735743213660e-01
-6.995814678547353083e+01 3.324124513294681726e-01
-6.979915099732471617e+01 3.326577138925195798e-01
-6.964015520917591573e+01 3.329073788483173924e-01
-6.948115942102711529e+01 3.331614641373197849e-01
-6.932216363287831484e+01 3.334199880521963033e-01
-6.916316784472951440e+01 3.336829692513555989e-01
-6.900417205658069975e+01 3.339504267628930489e-01
-6.884517626843189930e+01 3.342223799828872854e-01
-6.868618048028309886e+01 3.344988486800747340e-01
-6.852718469213429842e+01 3.347798530045757448e-01
-6.836818890398549797e+01 3.350654134846881016e-01
-6.820919311583668332e+01 3.353555510378442572e-01
-6.805019732768788288e+01 3.356502869700810354e-01
-6.789120153953908243e+01 3.359496429817696028e-01
-6.773220575139028199e+01 3.362536411746043785e-01
-6.757320996324146734e+01 3.365623040510516417e-01
-6.741421417509266689e+01 3.368756545219221410e-01
-6.725521838694386645e+01 3.371937159121462524e-01
-6.709622259879506601e+01 3.375165119628416588e-01
-6.693722681064626556e+01 3.378440668374021461e-01
-6.677823102249745091e+01 3.381764051278389749e-01
-6.661923523434865047e+01 3.385135518569865054e-01
-6.646023944619985002e+01 3.388555324858791851e-01
-6.630124365805104958e+01 3.392023729186415815e-01
-6.614224786990224914e+01 3.395540995080771896e-01
-6.598325208175343448e+01 3.399107390597340683e-01
-6.582425629360463404e+01 3.402723188409070287e-01
-6.566526050545583360e+01 3.406388665823554818e-01
-6.550626471730703315e+01 3.410104104859281726e-01
-6.534726892915821850e+01 3.413869792338046216e-01
-6.518827314100941805e+01 3.417686019874640047e-01
-6.502927735286061761e+01 3.421553084011829671e-01
-6.487028156471181717e+01 3.425471286258531811e-01
-6.471128577656301673e+01 3.429440933127888003e-01
-6.455228998841420207e+01 3.433462336252864899e-01
-6.439329420026540163e+01 3.437535812441982475e-01
-6.423429841211660118e+01 3.441661683703275409e-01
-6.407530262396780074e+01 3.445840277367962501e-01
-6.391630683581899319e+01 3.450071926158579938e-01
-6.375731104767019275e+01 3.454356968246513615e-01
-6.359831525952138520e+01 3.458695747337049431e-01
-6.343931947137258476e+01 3.463088612744814054e-01
-6.328032368322377721e+01 3.467535919476343320e-01
-6.312132789507497677e+01 3.472038028293812917e-01
-6.296233210692617632e+01 3.476595305842140049e-01
-6.280333631877736877e+01 3.481208124685797323e-01
-6.264434053062856833e+01 3.485876863427193606e-01
-6.248534474247976078e+01 3.490601906787339503e-01
-6.232634895433096034e+01 3.495383645675169682e-01
-6.216735316618215279e+01 3.500222477312920910e-01
-6.200835737803335235e+01 3.505118805320182052e-01
-6.184936158988455190e+01 3.510073039804809669e-01
-6.169036580173574436e+01 3.515085597449866261e-01
-6.153137001358694391e+01 3.520156901655756010e-01
-6.137237422543813636e+01 3.525287382608797149e-01
-6.121337843728933592e+01 3.530477477375495998e-01
-6.105438264914053548e+01 3.535727630053775439e-01
-6.089538686099172793e+01 3.541038291839649910e-01
-6.073639107284292749e+01 3.546409921174275004e-01
-6.057739528469411994e+01 3.551842983836689949e-01
-6.041839949654531949e+01 3.557337953071966763e-01
-6.025940370839651195e+01 3.562895309709676606e-01
-6.010040792024771150e+01 3.568515542286913589e-01
-5.994141213209891106e+01 3.574199147161405965e-01
-5.978241634395010351e+01 3.579946628663488450e-01
-5.962342055580130307e+01 3.585758499209405481e-01
-5.946442476765249552e+01 3.591635279443947115e-01
-5.930542897950369507e+01 3.597577498368017546e-01
-5.914643319135488753e+01 3.603585693506211052e-01
-5.898743740320608708e+01 3.609660410995379487e-01
-5.882844161505728664e+01 3.615802205796662117e-01
-5.866944582690847909e+01 3.622011641805750748e-01
-5.851045003875967865e+01 3.628289292002174204e-01
-5.835145425061087110e+01 3.634635738652354231e-01
-5.819245846246207066e+01 3.641051573395355234e-01
-5.803346267431326311e+01 3.647537397487639610e-01
-5.787446688616446266e+01 3.654093821908823148e-01
-5.771547109801566222e+01 3.660721467551957820e-01
-5.755647530986685467e+01 3.667420965425296497e-01
-5.739747952171805423e+01 3.674192956845406255e-01
-5.723848373356924668e+01 3.681038093500949016e-01
-5.707948794542044624e+01 3.687957037757971790e-01
-5.692049215727163869e+01 3.694950462881957387e-01
-5.676149636912283825e+01 3.702019053130298776e-01
-5.660250058097403780e+01 3.709163503984161947e-01
-5.644350479282523025e+01 3.716384522417777170e-01
-5.628450900467642981e+01 3.723682827027067210e-01
-5.612551321652762226e+01 3.731059148286769989e-01
-5.596651742837882182e+01 3.738514228796102623e-01
-5.580752164023001427e+01 3.746048823451961773e-01
-5.564852585208121383e+01 3.753663699719089752e-01
-5.548953006393241338e+01 3.761359637872161432e-01
-5.533053427578360584e+01 3.769137431195911936e-01
-5.517153848763480539e+01 3.776997886294683471e-01
-5.501254269948599784e+01 3.784941823305157382e-01
-5.485354691133719740e+01 3.792970076181706451e-01
-5.469455112318838985e+01 3.801083492954278609e-01
-5.453555533503958941e+01 3.809282935999948605e-01
-5.437655954689078897e+01 3.817569282341490844e-01
-5.421756375874198142e+01 3.825943423941274846e-01
-5.405856797059318097e+01 3.834406267960539516e-01
-5.389957218244437342e+01 3.842958737099941846e-01
-5.374057639429557298e+01 3.851601769901741301e-01
-5.358158060614676543e+01 3.860336321064345433e-01
-5.342258481799796499e+01 3.869163361771477128e-01
-5.326358902984916455e+01 3.878083880031862329e-01
-5.310459324170035700e+01 3.887098881033015929e-01
-5.294559745355155655e+01 3.896209387465855989e-01
-5.278660166540274901e+01 3.905416439939036755e-01
-5.262760587725394856e+01 3.914721097277548134e-01
-5.246861008910514812e+01 3.924124436976347274e-01
-5.230961430095634057e+01 3.933627555541498455e-01
-5.215061851280754013e+01 3.943231568933439068e-01
-5.199162272465873258e+01 3.952937612948790314e-01
-5.183262693650993214e+01 3.962746843644698869e-01
-5.167363114836112459e+01 3.972660437795559329e-01
-5.151463536021232414e+01 3.982679593331627799e-01
-5.135563957206352370e+01 3.992805529784744789e-01
-5.119664378391471615e+01 4.003039488765683940e-01
-5.103764799576591571e+01 4.013382734466531265e-01
-5.087865220761710816e+01 4.023836554117570796e-01
-5.071965641946830772e+01 4.034402258541014419e-01
-5.056066063131950017e+01 4.045081182645196005e-01
-5.040166484317069973e+01 4.055874685970340954e-01
-5.024266905502189928e+01 4.066784153262772428e-01
-5.008367326687309173e+01 4.077810995006339589e-01
-4.992467747872429129e+01 4.088956648044648756e-01
-4.976568169057548374e+01 4.100222576153517151e-01
-4.960668590242668330e+01 4.111610270672448886e-01
-4.944769011427787575e+01 4.123121251141924071e-01
-4.928869432612907531e+01 4.134757065962549327e-01
-4.912969853798027486e+01 4.146519293030589970e-01
-4.897070274983146732e+01 4.158409540491639356e-01
-4.881170696168266687e+01 4.170429447405485379e-01
-4.865271117353385932e+01 4.182580684484185629e-01
-4.849371538538505888e+01 4.194864954867359441e-01
-4.833471959723625133e+01 4.207283994873418087e-01
-4.817572380908745089e+01 4.219839574808567084e-01
-4.801672802093865045e+01 4.232533499800752996e-01
-4.785773223278984290e+01 4.245367610625662702e-01
-4.769873644464104245e+01 4.258343784584791014e-01
-4.753974065649223490e+01 4.271463936411131757e-01
-4.738074486834343446e+01 4.284730019185007399e-01
-4.722174908019462691e+01 4.298144025299536763e-01
-4.706275329204582647e+01 4.311707987417832122e-01
-4.690375750389702603e+01 4.325423979529118834e-01
-4.674476171574821848e+01 4.339294117929686778e-01
-4.658576592759941803e+01 4.353320562358875545e-01
-4.642677013945061049e+01 4.367505517076726851e-01
-4.626777435130181004e+01 4.381851232007965002e-01
-4.610877856315300249e+01 4.396360003931182869e-01
-4.594978277500420205e+01 4.411034177684682867e-01
-4.579078698685540161e+01 4.425876147445924613e-01
-4.563179119870659406e+01 4.440888357986914614e-01
-4.547279541055779362e+01 4.456073306059848971e-01
-4.531379962240898607e+01 4.471433541727592997e-01
-4.515480383426018562e+01 4.486971669825443043e-01
-4.499580804611137808e+01 4.502690351431402060e-01
-4.483681225796257763e+01 4.518592305344791837e-01
-4.467781646981377719e+01 4.534680309705578227e-01
-4.451882068166496964e+01 4.550957203610644930e-01
-4.435982489351616920e+01 4.567425888759378272e-01
-4.420082910536736165e+01 4.584089331200522088e-01
-4.404183331721856121e+01 4.600950563144773353e-01
-4.388283752906976076e+01 4.618012684783348032e-01
-4.372384174092095321e+01 4.635278866221683725e-01
-4.356484595277215277e+01 4.652752349461061754e-01
-4.340585016462334522e+01 4.670436450433940734e-01
-4.324685437647454478e+01 4.688334561147211588e-01
-4.308785858832573723e+01 4.706450151848899366e-01
-4.292886280017693679e+01 4.724786773328286116e-01
-4.276986701202813634e+01 4.743348059237232350e-01
-4.261087122387932880e+01 4.762137728551547600e-01
-4.245187543573052835e+01 4.781159588086107415e-01
-4.229287964758172080e+01 4.800417535103205235e-01
-4.213388385943292036e+01 4.819915560015429201e-01
-4.197488807128411281e+01 4.839657749220976357e-01
-4.181589228313531237e+01 4.859648287971717329e-01
-4.165689649498651193e+01 4.879891463424559928e-01
-4.149790070683770438e+01 4.900391667758626779e-01
-4.133890491868890393e+01 4.921153401422514451e-01
-4.117990913054009638e+01 4.942181276482617847e-01
-4.102091334239129594e+01 4.963480020161751272e-01
-4.086191755424248839e+01 4.985054478449473803e-01
-4.070292176609368795e+01 5.006909619809897238e-01
-4.054392597794488751e+01 5.029050539239853235e-01
-4.038493018979607996e+01 5.051482462155479913e-01
-4.022593440164727951e+01 5.074210748769212298e-01
-4.006693861349847197e+01 5.097240898387422892e-01
-3.990794282534967152e+01 5.120578553995988047e-01
-3.974894703720086397e+01 5.144229507045432470e-01
-3.958995124905206353e+01 5.168199702337377133e-01
-3.943095546090326309e+01 5.192495243176716846e-01
-3.927195967275445554e+01 5.217122396742166490e-01
-3.911296388460565510e+01 5.242087599632334616e-01
-3.895396809645684755e+01 5.267397463636085408e-01
-3.879497230830804710e+01 5.293058781818887892e-01
-3.863597652015923956e+01 5.319078534771476408e-01
-3.847698073201043911e+01 5.345463897182461954e-01
-3.831798494386163867e+01 5.372222244656038592e-01
-3.815898915571283112e+01 5.399361160863401787e-01
-3.799999336756403068e+01 5.426888444921160737e-01
-3.784099757941522313e+01 5.454812119211255306e-01
-3.768200179126642269e+01 5.483140437425270131e-01
-3.752300600311761514e+01 5.511881893024357382e-01
-3.736401021496881469e+01 5.541045228060654804e-01
-3.720501442682001425e+01 5.570639442401217334e-01
-3.704601863867120670e+01 5.600673803367817172e-01
-3.688702285052240626e+01 5.631157855778218257e-01
-3.672802706237359871e+01 5.662101432499567766e-01
-3.656903127422479827e+01 5.693514665465354563e-01
-3.641003548607599782e+01 5.725407997177470731e-01
-3.625103969792719028e+01 5.757792192805463172e-01
-3.609204390977838983e+01 5.790678352792809624e-01
-3.593304812162958228e+01 5.824077926110980963e-01
-3.577405233348078184e+01 5.858002724122660654e-01
-3.561505654533197429e+01 5.892464935123170600e-01
-3.545606075718317385e+01 5.927477139594232725e-01
-3.529706496903437341e+01 5.963052326192465058e-01
-3.513806918088556586e+01 5.999203908555327258e-01
-3.497907339273676541e+01 6.035945742921393631e-01
-3.482007760458795786e+01 6.073292146642244038e-01
-3.466108181643915742e+01 6.111257917663056594e-01
-3.450208602829034987e+01 6.149858354943872341e-01
-3.434309024014154943e+01 6.189109280006916958e-01
-3.418409445199274899e+01 6.229027059558076562e-01
-3.402509866384394144e+01 6.269628629279123677e-01
-3.386610287569514099e+01 6.310931518991479416e-01
-3.370710708754633345e+01 6.352953878989578973e-01
-3.354811129939753300e+01 6.395714508016596689e-01
-3.338911551124872545e+01 6.439232882532833768e-01
-3.323011972309992501e+01 6.483529187773607871e-01
-3.307112393495112457e+01 6.528624350455923819e-01
-3.291212814680231702e+01 6.574540073323625888e-01
-3.275313235865351658e+01 6.621298871648904072e-01
-3.259413657050470903e+01 6.668924111840552893e-01
-3.243514078235590858e+01 6.717440052227807712e-01
-3.227614499420710104e+01 6.766871886293800431e-01
-3.211714920605830059e+01 6.817245788388460737e-01
-3.195815341790949660e+01 6.868588962188272307e-01
-3.179915762976069260e+01 6.920929692045340031e-01
-3.164016184161188860e+01 6.974297397472977167e-01
-3.148116605346308816e+01 7.028722690936950457e-01
-3.132217026531428417e+01 7.084237439234105649e-01
-3.116317447716548017e+01 7.140874828754808501e-01
-3.100417868901667617e+01 7.198669434777871246e-01
-3.084518290086787218e+01 7.257657295227187833e-01
-3.068618711271906818e+01 7.317875989263885605e-01
-3.052719132457026774e+01 7.379364720866921079e-01
-3.036819553642146374e+01 7.442164408049786184e-01
-3.020919974827265975e+01 7.506317777927499213e-01
-3.005020396012385575e+01 7.571869468307271811e-01
-2.989120817197505175e+01 7.638866136086830405e-01
-2.973221238382624776e+01 7.707356573224852792e-01
-2.957321659567744376e+01 7.777391830768065617e-01
-2.941422080752864332e+01 7.849025351636433889e-01
-2.925522501937983932e+01 7.922313112917618305e-01
-2.909622923123103533e+01 7.997313778453795097e-01
-2.893723344308223133e+01 8.074088862545456546e-01
-2.877823765493342734e+01 8.152702905896171970e-01
-2.861924186678462334e+01 8.233223664685073162e-01
-2.846024607863581934e+01 8.315722313959493794e-01
-2.830125029048701890e+01 8.400273666938605777e-01
-2.814225450233821491e+01 8.486956411001569389e-01
-2.798325871418941091e+01 8.575853362804176649e-01
